season,number,title,air_date
1,1,Nigerian,12-07-2008
1,2,Homecoming,12-09-2008
1,3,Two-Horse,12-16-2008
1,4,Miracle,12-23-2008
1,5,Bank Shot,12-30-2008
1,6,Stork,01-06-2009
1,7,Wedding,01-13-2009
1,8,Mile High,01-20-2009
1,9,Snow,01-27-2009
1,10,12-Step,02-03-2009
1,11,Juror #6,02-10-2009
1,12,First David,02-17-2009
1,13,Second David,02-24-2009
2,1,Beantown Bailout,07-15-2009
2,2,Tap-Out,07-22-2009
2,3,Order 23,07-29-2009
2,4,Fairy Godparents,08-05-2009
2,5,Three Days of the Hunter,08-12-2009
2,6,Top Hat,08-19-2009
2,7,Two Live Crew,08-26-2009
2,8,Ice Man,09-02-2009
2,9,Lost Heir,09-09-2009
2,10,Runway,01-13-2010
2,11,Bottle,01-20-2010
2,12,Zanzibar Marketplace,01-27-2010
2,13,Future,02-03-2010
2,14,Three Strikes,02-10-2010
2,15,Maltese Falcon,02-17-2010
3,1,Jailhouse,06-20-2010
3,2,Reunion,06-20-2010
3,3,Inside,06-27-2010
3,4,Scheherazade,06-27-2010
3,5,Double-Blind,07-11-2010
3,6,Studio,07-18-2010
3,7,Gone-Fishin',07-25-2010
3,8,Boost,08-01-2010
3,9,Three-Card Monte,08-08-2010
3,10,Underground,08-15-2010
3,11,Rashomon,08-22-2010
3,12,King George,08-29-2010
3,13,Morning After,09-05-2010
3,14,Ho Ho Ho,12-12-2010
3,15,Big Bang,12-19-2010
3,16,San Lorenzo,12-19-2010
4,1,Long Way Down,06-26-2011
4,2,10 Li'l Grifters,07-03-2011
4,3,15 Minutes,07-10-2011
4,4,Van Gogh,07-17-2011
4,5,Hot Potato,07-24-2011
4,6,Carnival,07-31-2011
4,7,Grave Danger,08-14-2011
4,8,Boiler Room,08-14-2011
4,9,Cross My Heart,08-21-2011
4,10,Queen's Gambit,08-28-2011
4,11,Experimental,11-27-2011
4,12,Office,12-04-2011
4,13,Girls' Night Out,12-11-2011
4,14,Boys' Night Out,12-18-2011
4,15,Lonely Hearts,12-25-2011
4,16,Gold,01-01-2012
4,17,Radio,01-08-2012
4,18,Last Dam,01-15-2012
5,1,(Very) Big Bird,07-15-2012
5,2,Blue Line,07-22-2012
5,3,First Contact,08-05-2012
5,4,French Connection,08-12-2012
5,5,Gimme a K Street,08-19-2012
5,6,D.B. Cooper,08-26-2012
5,7,Real Fake Car,09-02-2012
5,8,Broken Wing,09-09-2012
5,9,Rundown,09-16-2012
5,10,Frame Up,09-16-2012
5,11,Low Low Price,11-27-2012
5,12,White Rabbit,12-04-2012
5,13,Corkscrew,12-11-2012
5,14,Toy,12-18-2012
5,15,Long Goodbye,12-25-2012
