season,number,title,air_date
1,1,the Crown of King Arthur,12-07-2014
1,2,the Sword in the Stone,12-07-2014
1,3,the Horns of a Dilemma,12-14-2014
1,4,Santa's Midnight Run,12-21-2014
1,5,the Apple of Discord,12-28-2014
1,6,the Fables of Doom,01-04-2015
1,7,the Rule of Three,01-11-2015
1,8,the Heart of Darkness,01-11-2015
1,9,the City of Light,01-18-2015
1,10,the Loom of Fate,01-18-2015
2,1,the Drowned Book,11-01-2015
2,2,the Broken Staff,11-01-2015
2,3,What Lies Beneath the Stones,11-08-2015
2,4,the Cost of Education,11-15-2015
2,5,the Hollow Men,11-22-2015
2,6,the Infernal Contract,11-29-2015
2,7,the Image of Image,12-06-2015
2,8,the Point of Salvation,12-13-2015
2,9,the Happily Ever After,12-20-2015
2,10,the Final Curtain,12-27-2015
3,1,the Rise of Chaos,11-20-2016
3,2,the Fangs of Death,11-27-2016
3,3,the Reunion of Evil,12-04-2016
3,4,the Self-Fulfilling Prophecy,12-11-2016
3,5,the Tears of a Clown,12-18-2016
3,6,the Trial of the Triangle,12-25-2016
3,7,the Curse of Cindy,01-01-2017
3,8,the Eternal Question,01-08-2017
3,9,the Fatal Separation,01-15-2017
3,10,the Wrath of Chaos,01-22-2017
4,1,the Dark Secret,12-13-2017
4,2,the Steal of Fortune,12-13-2017
4,3,the Christmas Thief,12-20-2017
4,4,the Silver Screen,12-20-2017
4,5,the Bleeding Crown,12-27-2017
4,6,the Graves of Time,12-27-2017
4,7,the Disenchanted Forest,01-03-2018
4,8,the Hidden Sanctuary,01-10-2018
4,9,a Town Called Feud,01-17-2018
4,10,Some Dude Named Jeff,01-24-2018
4,11,the Trial of the One,01-31-2018
4,12,the Echoes of Memory,02-07-2018
