1,1,Pilot,7-7-2006
1,2,Spellingg Bee,7-14-2006
1,3,Speak Now or Forever Hold Your Piece,7-21-2006
1,4,Woman Seeking Dead Husband: Smokers Okay| No Pets,7-28-2006
1,5,9 Lives,8-4-2006
1,6,Weekend Warriors,8-11-2006
1,7,Who Ya Gonna Call?,8-18-2006
1,8,Shawn vs. the Red Phantom,8-25-2006
1,9,Forget Me Not,1-19-2007
1,10,From the Earth to the Starbucks,1-26-2007
1,11,He Loves Me| He Loves Me Not| He Loves Me| Oops He's Dead!,2-2-2007
1,12,Cloudy... With a Chance of Murder,2-9-2007
1,13,Game| Set... Muuurder?,2-16-2007
1,14,Poker? I Barely Know Her,2-23-2007
1,15,Scary Sherry: Bianca's Toast,3-2-2007
2,1,American Duos,7-13-2007
2,2,65 Million Years Off,7-20-2007
2,3,Psy vs. Psy,7-27-2007
2,4,Zero to Murder in Sixty Seconds,8-3-2007
2,5,And Down the Stretch Comes Murder,8-10-2007
2,6,Meat Is Murder| But Murder Is Also Murder,8-17-2007
2,7,If You're So Smart| Then Why Are You Dead?,8-24-2007
2,8,Rob-a-Bye Baby,9-7-2007
2,9,Bounty Hunters!,9-14-2007
2,10,Gus' Dad May Have Killed an Old Guy,12-7-2007
2,11,There's Something About Mira,1-11-2008
2,12,The Old and the Restless,1-18-2008
2,13,Lights| Camera... Homicidio,1-25-2008
2,14,Dis-Lodged,2-1-2008
2,15,Black and Tan: A Crime of Fashion,2-8-2008
2,16,Shawn (and Gus) of the Dead,2-15-2008
3,1,Ghosts,7-18-2008
3,2,Murder?   Anyone?   Anyone?   Bueller?,7-25-2008
3,3,Daredevils!,8-1-2008
3,4,The Greatest Adventure in the History of Basic Cable,8-8-2008
3,5,Disco Didn't Die. It Was Murdered!,8-15-2008
3,6,There Might Be Blood,8-22-2008
3,7,Talk Derby to Me,9-5-2008
3,8,Gus Walks into a Bank,9-12-2008
3,9,Christmas Joy,11-28-2008
3,10,Six Feet Under the Sea,1-9-2009
3,11,Lassie Did a Bad| Bad Thing,1-16-2009
3,12,Earth| Wind and... Wait for It,1-23-2009
3,13,Any Given Friday Night at 10pm| 9pm Central,1-30-2009
3,14,Truer Lies,2-6-2009
3,15,Tuesday the 17th,2-13-2009
3,16,An Evening with Mr. Yang,2-20-2009
4,1,Extradition: British Columbia,8-7-2009
4,2,He Dead,8-14-2009
4,3,High Noon-ish,8-21-2009
4,4,The Devil's in the Details... and the Upstairs Bedroom,8-28-2009
4,5,Shawn Gets the Yips,9-11-2009
4,6,Bollywood Homicide,9-18-2009
4,7,High Top Fade-Out,9-25-2009
4,8,Let's Get Hairy,10-9-2009
4,9,Shawn Takes a Shot in the Dark,10-16-2009
4,10,You Can't Handle This Episode,1-27-2010
4,11,Thrill Seekers and Hell-Raisers,2-3-2010
4,12,A Very Juliet Episode,2-10-2010
4,13,Death Is in the Air,2-17-2010
4,14,Think Tank,2-24-2010
4,15,The Head| the Tail\ the Whole Damn Episode,3-3-2010
4,16,Mr. Yin Presents...,3-10-2010
5,1,Romeo and Juliet and Juliet,7-14-2010
5,2,Feet Don't Kill Me Now,7-21-2010
5,3,Not Even Close... Encounters,7-28-2010
5,4,Chivalry Is Not Dead... But Someone Is,8-4-2010
