season,number,title,air_date
1,1,Too Many Rembrandts,07-09-2021
1,2,Panamanian Monkey,07-09-2021
1,3,Rollin' on the River,07-09-2021
1,4,Tower,07-09-2021
1,5,Paranormal Hacktivity,07-09-2021
1,6,Card Game,07-09-2021
1,7,Double-Edged Sword,07-09-2021
1,8,Mastermind,07-09-2021
1,9,Bucket,10-08-2021
1,10,Unwellness,10-08-2021
1,11,Jackal,10-08-2021
1,12,Golf,10-08-2021
1,13,Hurricane,10-08-2021
1,14,Great Train,10-08-2021
1,15,Muddy Waters,10-08-2021
1,16,Harry Wilson,10-08-2021
2,1,Debutante,11-15-2022
2,2,One Man's Trash,11-15-2022
2,3,Tournament,11-15-2022
2,4,Date Night,11-22-2022
2,5,Walk in the Woods,11-29-2022
2,6,Fractured,12-06-2022
2,7,Big Rig,12-13-2022
2,8,Turkish Prisoner,12-20-2022
2,9,Pyramid,12-27-2022
2,10,Work Study,01-03-2023
2,11,Belly of the Beast,01-10-2023
2,12,Museum Makeover,01-17-2023
2,13,Crowning Achievement,01-24-2023
3,1,Weekend in Paris,04-17-2025
3,2,Digital Frankenstein,04-17-2024
3,3,Scared Stiff,04-17-2025
3,4,Hustler,04-24-2025
3,5,Grand Complication,05-01-2025
3,6,Swipe Right,05-08-2025
3,7,Shakedown In Clone-Town,05-15-2025
3,8,Cooling Off The Mark,05-22-2025
3,9,Polygeist,05-29-2025
3,10,Side,06-05-2025
