season,number,title,air_date
1,1,Pilot,9-13-2005
1,2,Wendigo,9-20-2005
1,3,Dead in the Water,9-27-2005
1,4,Phantom Traveler,10-4-2005
1,5,Bloody Mary,10-11-2005
1,6,Skin,10-18-2005
1,7,Hook Man,10-25-2005
1,8,Bugs,11-8-2005
1,9,Home,11-15-2005
1,10,Asylum,11-22-2005
1,11,Scarecrow,1-10-2006
1,12,Faith,1-17-2006
1,13,Route 666,1-31-2006
1,14,Nightmare,2-7-2006
1,15,The Benders,2-14-2006
1,16,Shadow,2-28-2006
1,17,Hell House,3-30-2006
1,18,Something Wicked,4-6-2006
1,19,Provenance,4-13-2006
1,20,Dead Man's Blood,4-20-2006
1,21,Salvation,4-27-2006
1,22,Devil's Trap,5-4-2006
2,1,In My Time of Dying,9-28-2006
2,2,Everybody Loves a Clown,10-5-2006
2,3,Bloodlust,10-12-2006
2,4,Children Shouldn't Play with Dead Things,10-19-2006
2,5,Simon Said,10-26-2006
2,6,No Exit,11-2-2006
2,7,The Usual Suspects,11-9-2006
2,8,Crossroad Blues,11-16-2006
2,9,Croatoan,12-7-2006
2,10,Hunted,1-11-2007
2,11,Playthings,1-18-2007
2,12,Nightshifter,1-25-2007
2,13,Houses of the Holy,2-1-2007
2,14,Born Under a Bad Sign,2-8-2007
2,15,Tall Tales,2-15-2007
2,16,Roadkill,3-15-2007
2,17,Heart,3-22-2007
2,18,Hollywood Babylon,4-19-2007
2,19,Folsom Prison Blues,4-26-2007
2,20,What Is and What Should Never Be,5-3-2007
2,21,All Hell Breaks Loose (Part 1),5-10-2007
2,22,All Hell Breaks Loose (Part 2),5-17-2007
3,1,The Magnificent Seven,10-4-2007
3,2,The Kids Are Alright,10-11-2007
3,3,Bad Day at Black Rock,10-18-2007
3,4,Sin City,10-25-2007
3,5,Bedtime Stories,11-1-2007
3,6,Red Sky at Morning,11-8-2007
3,7,Fresh Blood,11-15-2007
3,8,A Very Supernatural Christmas,12-13-2007
3,9,Malleus Maleficarum,1-31-2008
3,10,Dream a Little Dream of Me,2-7-2008
3,11,Mystery Spot,2-14-2008
3,12,Jus in Bello,2-21-2008
3,13,Ghostfacers!,4-24-2008
3,14,Long-Distance Call,5-1-2008
3,15,Time Is On My Side,5-8-2008
3,16,No Rest for the Wicked,5-15-2008
4,1,Lazarus Rising,9-18-2008
4,2,"Are You There, God? It's Me, Dean Winchester",9-25-2008
4,3,In the Beginning,10-2-2008
4,4,Metamorphosis,10-9-2008
4,5,Monster Movie,10-16-2008
4,6,Yellow Fever,10-23-2008
4,7,"It's the Great Pumpkin, Sam Winchester",10-30-2008
4,8,Wishful Thinking,11-6-2008
4,9,I Know What You Did Last Summer,11-13-2008
4,10,Heaven and Hell,11-20-2008
4,11,Family Remains,1-15-2009
4,12,Criss Angel Is a Douche Bag,1-22-2009
4,13,After School Special,1-29-2009
4,14,Sex and Violence,2-5-2009
4,15,Death Takes a Holiday,3-12-2009
4,16,On the Head of a Pin,3-19-2009
4,17,It's a Terrible Life,3-26-2009
4,18,The Monster at the End of This Book,4-2-2009
4,19,Jump the Shark,4-23-2009
4,20,The Rapture,4-30-2009
4,21,When the Levee Breaks,5-7-2009
4,22,Lucifer Rising,5-14-2009
5,1,Sympathy for the Devil,9-10-2009
5,2,"Good God, Y'All!",9-17-2009
5,3,Free to Be You and Me,9-24-2009
5,4,The End,10-1-2009
5,5,Fallen Idols,10-8-2009
5,6,I Believe the Children Are Our Future,10-15-2009
5,7,The Curious Case of Dean Winchester,10-29-2009
5,8,Changing Channels,11-5-2009
5,9,The Real Ghostbusters,11-12-2009
5,10,Abandon All Hope...,11-19-2009
5,11,"Sam, Interrupted",1-21-2010
5,12,Swap Meat,1-28-2010
5,13,The Song Remains the Same,2-4-2010
5,14,My Bloody Valentine[a],2-11-2010
5,15,Dead Men Don't Wear Plaid,3-25-2010
5,16,Dark Side of the Moon,4-1-2010
5,17,99 Problems,4-8-2010
5,18,Point of No Return,4-15-2010
5,19,Hammer of the Gods,4-22-2010
5,20,The Devil You Know,4-29-2010
5,21,Two Minutes to Midnight,5-6-2010
5,22,Swan Song,5-13-2010
6,1,Exile on Main St.,9-24-2010
6,2,Two and a Half Men,10-1-2010
6,3,The Third Man,10-8-2010
6,4,Weekend at Bobby's,10-15-2010
6,5,Live Free or Twihard,10-22-2010
